a,b,c,d,e,f,g,h,i
1.5771,-1.2305,-1.9727,3.1995,76.972,-312.85,230.62,301.42,485.69
1.5778,-0.6543,-2.4805,3.1308,134.7,-313.84,173.46,301.42,485.9
1.5785,-0.03418,-2.7344,2.7677,197.36,-310.38,105.37,301.42,486.11
1.5792,0.76172,-2.9736,2.2475,254.11,-296.02,34.294,301.44,486.32
1.5799,1.5869,-3.1787,1.6292,295.55,-267.81,-33.3,301.45,486.53
1.5806,2.2266,-3.291,1.109,310.85,-223.75,-93.44,301.46,486.74
1.5813,2.6758,-3.2031,0.57905,310.35,-164.84,-153.58,301.47,486.95
1.582,2.915,-2.8027,-0.058887,305.91,-94.549,-217.2,301.48,487.17
1.5827,3.1836,-2.2363,-0.88821,289.14,-21.286,-271.37,301.48,487.38
1.5834,3.3545,-1.6016,-1.6783,254.6,46.037,-304.67,301.49,487.59
1.5841,3.3643,-1.0986,-2.2033,203.28,104.94,-314.12,301.51,487.8
1.5848,3.1348,-0.53223,-2.5665,142.59,164.35,-313.62,301.51,488.01
1.5855,2.6465,0.1709,-2.7971,71.544,228.2,-305.17,301.52,488.22
1.5862,2.0215,1.0205,-3.0327,-0.49341,278.2,-284.3,301.51,488.43
1.5869,1.3574,1.8164,-3.1701,-64.636,305.92,-248.51,301.52,488.64
1.5876,0.84961,2.3096,-3.1553,-121.87,310.87,-194.83,301.52,488.85
1.5883,0.24414,2.6416,-2.8854,-183.05,307.9,-129.23,301.52,489.07
1.589,-0.47363,2.8564,-2.3996,-243.74,298,-59.146,301.52,489.28
1.5897,-1.3379,3.1006,-1.8059,-290.12,273.25,9.9404,301.51,489.49
1.5904,-2.0703,3.2471,-1.217,-312.33,235.63,71.571,301.51,489.7
1.5911,-2.5049,3.2227,-0.76062,-315.29,180.19,131.71,301.51,489.91
1.5918,-2.8174,2.9346,-0.17175,-311.83,111.87,195.33,301.51,490.12
1.5925,-3.0518,2.3975,0.59868,-299.99,38.117,253.98,301.5,490.33
1.5932,-3.3057,1.7822,1.4525,-270.88,-31.186,293.74,301.5,490.54
1.5939,-3.3545,1.1865,2.1003,-223.51,-90.589,310.64,301.5,490.75
1.5946,-3.1836,0.68848,2.4536,-164.3,-150.98,310.14,301.5,490.96
1.5953,-2.7783,0.029297,2.7284,-97.201,-214.84,303.68,301.49,491.18
1.596,-2.1924,-0.75684,2.9345,-24.177,-269.29,287.78,301.48,491.39
1.5967,-1.5576,-1.6113,3.1701,44.407,-303.94,257.46,301.47,491.6
1.5974,-0.94727,-2.2461,3.1897,100.66,-315.33,208.25,301.48,491.81
1.5981,-0.43457,-2.5586,2.9934,159.37,-313.84,144.14,301.47,492.02
1.5988,0.28809,-2.8174,2.5518,224.01,-304.93,76.541,301.46,492.23
1.5995,1.084,-3.0273,1.9776,275.82,-285.13,5.4672,301.45,492.44
1.6002,1.9043,-3.2617,1.4084,302.95,-252.95,-60.637,301.44,492.65
1.6009,2.4512,-3.2861,0.8833,310.85,-201.97,-118.29,301.44,492.86
1.6016,2.7441,-3.0615,0.37295,310.35,-134.15,-179.42,301.43,493.07
1.6023,3.0273,-2.5781,-0.39258,300.98,-63.858,-242.55,301.42,493.29
1.603,3.2275,-1.9824,-1.1826,275.32,6.4353,-289.76,301.4,493.5
1.6037,3.4082,-1.4014,-1.9334,235.85,71.283,-310.64,301.39,493.71
1.6044,3.2715,-0.83008,-2.3898,180.09,130.69,-313.12,301.4,493.92
1.6051,2.9492,-0.2832,-2.6401,112.5,191.08,-312.13,301.4,494.13
1.6058,2.3926,0.52246,-2.9002,40.459,250.97,-298.71,301.4,494.34
1.6065,1.7578,1.3232,-3.0719,-28.124,294.54,-270.38,301.39,494.55
1.6072,1.1719,2.0508,-3.2191,-88.813,310.38,-227.64,301.38,494.76
1.6079,0.58594,2.4854,-3.067,-147.04,309.39,-169.48,301.39,494.97
1.6086,-0.019531,2.7051,-2.6941,-209.21,305.43,-100.4,301.4,495.18
1.6093,-0.86426,2.9688,-2.1445,-264.96,289.09,-29.324,301.4,495.4
1.61,-1.6064,3.1494,-1.5801,-303.45,259.39,36.78,301.4,495.61
1.6107,-2.2754,3.3008,-1.0649,-314.79,214.84,96.422,301.4,495.82
1.6114,-2.6758,3.1299,-0.49563,-313.81,152.47,158.55,301.41,496.03
1.6121,-2.915,2.7197,0.1374,-309.86,80.193,220.68,301.42,496.24
1.6128,-3.1885,2.1289,0.99617,-290.12,8.4153,272.86,301.43,496.45
1.6135,-3.3154,1.5332,1.7175,-252.13,-56.432,304.67,301.43,496.66
1.6142,-3.3545,1.0205,2.272,-200.32,-116.33,310.64,301.43,496.87
1.6149,-3.042,0.41016,2.5959,-138.15,-178.7,307.66,301.43,497.08
1.6156,-2.5635,-0.28809,2.8266,-66.61,-238.6,299.7,301.44,497.29
1.6163,-1.9092,-1.1719,3.067,6.4143,-285.13,278.33,301.44,497.51
1.617,-1.2891,-1.8848,3.1701,67.104,-311.86,238.07,301.46,497.72
1.6177,-0.76172,-2.4023,3.1603,123.35,-315.33,182.41,301.46,497.93
1.6184,-0.12695,-2.7051,2.8413,187.99,-308.89,117.79,301.48,498.14
1.6191,0.58594,-2.9248,2.3604,247.2,-298,47.217,301.48,498.35
1.6198,1.4795,-3.1738,1.7372,288.64,-274.74,-24.851,301.49,498.56
1.6205,2.1387,-3.2666,1.1679,308.87,-233.15,-83.997,301.5,498.77
1.6212,2.6025,-3.2471,0.68701,312.33,-173.26,-141.65,301.51,498.98
1.6219,2.8857,-2.8857,0.058887,306.9,-105.44,-206.76,301.51,499.19
1.6226,3.1299,-2.3486,-0.72627,291.6,-34.156,-265.41,301.5,499.4
1.6233,3.3594,-1.7041,-1.585,261.51,35.641,-301.2,301.51,499.62
1.624,3.3643,-1.1621,-2.1346,214.14,96.034,-312.13,301.51,499.83
1.6247,3.1934,-0.64453,-2.5076,152.46,154.45,-314.12,301.51,500.04
1.6254,2.7344,0.058594,-2.7677,82.893,217.31,-308.15,301.52,500.25
1.6261,2.1436,0.86426,-2.9885,10.855,272.26,-287.78,301.54,500.46
1.6268,1.4697,1.7236,-3.1946,-54.768,304.44,-254.47,301.54,500.67
1.6275,0.91309,2.2656,-3.1701,-112.99,310.87,-204.77,301.54,500.88
1.6282,0.37598,2.583,-2.9591,-172.69,307.9,-141.15,301.55,501.09
1.6289,-0.37109,2.8369,-2.4781,-234.86,300.48,-71.074,301.56,501.3
1.6296,-1.1865,3.0518,-1.9089,-283.71,278.7,0,301.56,501.52
1.6303,-1.9971,3.2666,-1.3102,-309.86,243.05,63.122,301.55,501.73
1.631,-2.4609,3.2422,-0.82441,-315.78,189.59,121.27,301.55,501.94
1.6317,-2.7734,3.0127,-0.28953,-312.82,122.76,183.9,301.54,502.15
1.6324,-3.0322,2.4951,0.48091,-302.95,51.482,245.53,301.55,502.36
1.6331,-3.2568,1.8945,1.2955,-276.31,-19.801,289.76,301.54,502.57
1.6338,-3.3887,1.2842,2.0365,-233.38,-82.668,307.66,301.53,502.78
1.6345,-3.2129,0.74219,2.4193,-175.16,-142.07,310.14,301.51,502.99
1.6352,-2.8662,0.15625,2.6843,-107.07,-203.45,306.66,301.49,503.2
1.6359,-2.2852,-0.64453,2.91,-35.525,-261.37,291.75,301.48,503.41
1.6366,-1.6748,-1.4502,3.121,32.072,-300.97,262.43,301.47,503.63
1.6373,-1.0547,-2.1729,3.229,91.281,-314.83,217.7,301.46,503.84
1.638,-0.50293,-2.5342,3.0376,150.49,-312.85,157.06,301.45,504.05
1.6387,0.15625,-2.7734,2.6352,212.66,-307.41,87.476,301.44,504.26
1.6394,0.97656,-3.0078,2.0708,266.93,-290.08,15.905,301.42,504.47
1.6401,1.7334,-3.2129,1.5261,301.47,-258.9,-49.205,301.43,504.68
1.6408,2.3975,-3.3203,0.97163,311.83,-210.88,-107.85,301.42,504.89
1.6415,2.7148,-3.1104,0.44656,309.86,-146.53,-169.48,301.42,505.1
1.6422,2.9834,-2.6807,-0.24536,303.45,-75.738,-233.1,301.41,505.31
1.6429,3.2178,-2.0752,-1.0796,281.24,-3.4651,-283.3,301.4,505.53
1.6436,3.3691,-1.499,-1.801,243.74,61.382,-309.15,301.4,505.74
1.6443,3.335,-0.9375,-2.3407,189.47,120.78,-313.62,301.4,505.95
1.645,3.0127,-0.37109,-2.6106,123.85,181.67,-312.63,301.4,506.16
1.6457,2.5098,0.37109,-2.8609,51.808,242.06,-302.19,301.39,506.37
1.6464,1.8457,1.2256,-3.0572,-18.256,289.09,-275.85,301.39,506.58
1.6471,1.2744,1.9189,-3.1897,-78.452,309.88,-235.59,301.4,506.79
1.6478,0.69336,2.4365,-3.1259,-138.15,309.39,-179.92,301.41,507
1.6485,0.087891,2.6807,-2.7726,-199.83,305.92,-112.33,301.42,507.21
1.6492,-0.70801,2.9297,-2.2573,-256.08,294.04,-39.265,301.42,507.42
1.6499,-1.5186,3.1348,-1.6537,-298.02,265.33,27.833,301.42,507.64
1.6506,-2.1631,3.2617,-1.1434,-315.78,221.77,85.488,301.42,507.85
1.6513,-2.6221,3.1836,-0.6085,-314.79,163.36,147.12,301.44,508.06
1.652,-2.8711,2.8076,0.014722,-308.87,94.549,212.23,301.44,508.27
1.6527,-3.1494,2.2461,0.84404,-294.07,19.306,265.91,301.44,508.48
1.6534,-3.3154,1.6113,1.6341,-262,-49.007,299.7,301.43,508.69
1.6541,-3.3447,1.1035,2.1739,-208.71,-105.93,311.14,301.44,508.9
1.6548,-3.1201,0.52734,2.5518,-147.04,-166.33,310.14,301.44,509.11
1.6555,-2.6465,-0.15625,2.7824,-79.439,-230.68,301.2,301.43,509.32
1.6562,-2.0264,-1.0156,3.0376,-6.4143,-281.17,280.82,301.44,509.53
1.6569,-1.3721,-1.8018,3.1799,59.702,-308.4,247.52,301.44,509.75
1.6576,-0.85938,-2.3193,3.175,115.95,-314.83,192.84,301.44,509.96
1.6583,-0.24902,-2.6611,2.9149,176.15,-312.36,126.74,301.45,510.17
1.659,0.46387,-2.8809,2.4389,238.32,-301.47,58.152,301.46,510.38
1.6597,1.333,-3.1396,1.85,285.19,-277.71,-11.929,301.46,510.59
1.6604,2.0752,-3.2764,1.2464,307.39,-241.07,-74.553,301.46,510.8
1.6611,2.5293,-3.2617,0.78516,311.34,-185.14,-133.2,301.46,511.01
1.6618,2.8418,-2.9736,0.18157,308.87,-116.82,-196.32,301.47,511.22
1.6625,3.0859,-2.4463,-0.57905,296.04,-45.542,-256.96,301.48,511.43
1.6632,3.335,-1.8311,-1.4329,266.93,24.256,-297.22,301.47,511.64
1.6639,3.3838,-1.2305,-2.0807,223.02,86.628,-312.13,301.47,511.86
1.6646,3.2275,-0.7373,-2.4438,163.32,145.04,-314.12,301.47,512.07
1.6653,2.8271,-0.073242,-2.7284,94.241,206.92,-310.14,301.48,512.28
1.666,2.2461,0.71289,-2.9443,22.697,265.33,-292.75,301.49,512.49
1.6667,1.6016,1.5771,-3.175,-44.407,300.97,-260.94,301.48,512.7
1.6674,0.99609,2.2119,-3.1995,-104.11,309.88,-214.71,301.49,512.91
1.6681,0.46875,2.5391,-3.0032,-163.32,308.4,-152.09,301.5,513.12
1.6688,-0.25391,2.8027,-2.5616,-224.01,303.45,-81.015,301.5,513.33
1.6695,-1.0449,3.0078,-1.9972,-277.3,283.15,-11.431,301.5,513.54
1.6702,-1.8701,3.2471,-1.4231,-309.37,248,51.69,301.5,513.75
1.6709,-2.4219,3.2715,-0.89802,-315.78,200.48,111.83,301.5,513.97
1.6716,-2.7148,3.0664,-0.39749,-312.33,135.64,174.95,301.49,514.18
1.6723,-3.0029,2.583,0.36313,-306.41,61.877,236.09,301.49,514.39
1.673,-3.2031,1.9873,1.1581,-282.72,-10.395,282.81,301.49,514.6
1.6737,-3.3887,1.3916,1.9236,-240.78,-72.273,308.15,301.49,514.81
1.6744,-3.252,0.81543,2.3849,-184.53,-130.69,311.14,301.48,515.02
1.6751,-2.9346,0.27832,2.6352,-120.39,-194.54,306.66,301.48,515.23
1.6758,-2.3828,-0.52246,2.8854,-47.861,-253.95,294.73,301.46,515.44
1.6765,-1.7529,-1.3184,3.0621,23.19,-294.54,268.89,301.46,515.65
1.6772,-1.1572,-2.0557,3.2191,82.399,-313.35,225.65,301.46,515.86
1.6779,-0.57617,-2.5049,3.0719,139.63,-314.83,166.01,301.45,516.08
1.6786,0.0097656,-2.7148,2.7137,202.79,-308.89,99.404,301.44,516.29
1.6793,0.84473,-2.9736,2.1641,259.53,-292.56,28.33,301.42,516.5
1.68,1.6016,-3.1592,1.5948,297.03,-264.84,-39.762,301.41,516.71
1.6807,2.29,-3.3105,1.0698,310.35,-219.79,-98.907,301.41,516.92
1.6814,2.6855,-3.1445,0.51526,310.85,-157.42,-159.05,301.4,517.13
1.6821,2.9248,-2.7588,-0.11287,305.42,-87.123,-222.67,301.38,517.34
1.6828,3.1934,-2.1729,-0.95691,285.68,-15.346,-275.85,301.38,517.55
1.6835,3.3203,-1.5674,-1.6881,250.65,51.482,-306.66,301.38,517.76
1.6842,3.3643,-1.0498,-2.2524,198.35,110.39,-314.12,301.37,517.97
1.6849,3.0664,-0.45898,-2.5763,135.69,171.28,-313.12,301.37,518.19
1.6856,2.5977,0.23438,-2.8118,65.13,233.65,-304.18,301.38,518.4
1.6863,1.9385,1.1084,-3.0425,-6.9077,282.16,-281.81,301.38,518.61
1.687,1.3379,1.8311,-3.1553,-70.557,306.91,-244.04,301.38,518.82
1.6877,0.80566,2.3535,-3.1553,-126.81,310.87,-189.37,301.38,519.03
1.6884,0.17578,2.6562,-2.8315,-188.98,306.91,-122.76,301.38,519.24
1.6891,-0.54688,2.8809,-2.3555,-249.66,295.03,-52.684,301.38,519.45
1.6898,-1.4307,3.125,-1.7421,-293.58,270.28,17.396,301.38,519.66
1.6905,-2.085,3.2324,-1.1875,-312.82,231.67,78.032,301.39,519.87
1.6912,-2.5586,3.2227,-0.70664,-315.29,173.26,137.18,301.39,520.08
1.6919,-2.8467,2.876,-0.078516,-312.33,103.95,200.8,301.39,520.3
1.6926,-3.0957,2.3438,0.69192,-297.53,32.176,258.95,301.38,520.51
1.6933,-3.3154,1.6992,1.5507,-266.44,-37.126,296.72,301.39,520.72
1.694,-3.335,1.1523,2.115,-219.07,-97.519,310.14,301.4,520.93
1.6947,-3.1787,0.63965,2.4978,-158.38,-156.92,309.64,301.41,521.14
1.6954,-2.7197,-0.053711,2.7579,-89.8,-219.79,303.68,301.42,521.35
1.6961,-2.1436,-0.85449,2.9836,-17.269,-273.75,285.29,301.41,521.56
1.6968,-1.4746,-1.7139,3.1848,49.341,-306.42,252.98,301.41,521.77
1.6975,-0.91309,-2.2656,3.175,106.58,-314.83,202.78,301.42,521.98
1.6982,-0.37109,-2.6025,2.9738,165.79,-312.36,138.17,301.43,522.19
1.6989,0.36133,-2.8516,2.5076,228.45,-304.44,69.086,301.43,522.41
1.6996,1.1768,-3.0762,1.9433,278.78,-282.16,-0.99404,301.43,522.62
1.7003,1.9971,-3.291,1.3348,305.42,-248.99,-65.11,301.44,522.83
1.701,2.4707,-3.2715,0.84895,310.85,-196.03,-123.76,301.44,523.04
1.7017,2.7979,-3.0469,0.30425,309.37,-127.72,-185.39,301.44,523.25
1.7024,3.0566,-2.5342,-0.46619,299.99,-56.927,-247.02,301.44,523.46
1.7031,3.291,-1.9385,-1.2808,272.36,12.375,-292.75,301.43,523.67
1.7038,3.4229,-1.3281,-2.0267,229.93,76.233,-312.13,301.43,523.88
1.7045,3.252,-0.7959,-2.4045,174.17,137.12,-312.63,301.43,524.09
1.7052,2.915,-0.20508,-2.6843,107.07,197.51,-310.64,301.43,524.3
1.7059,2.334,0.60059,-2.9149,33.058,254.44,-298.21,301.43,524.52
1.7066,1.7236,1.416,-3.1357,-34.045,296.52,-267.4,301.44,524.73
1.7073,1.0986,2.1436,-3.2388,-92.761,311.86,-221.67,301.44,524.94
1.708,0.54688,2.5049,-3.0425,-153.45,308.89,-163.02,301.45,525.15
1.7087,-0.12695,2.7539,-2.6401,-216.61,302.95,-94.434,301.46,525.36
1.7094,-0.94238,2.9834,-2.0758,-269.4,288.1,-20.875,301.47,525.57
1.7101,-1.7041,3.1982,-1.5409,-303.94,256.92,43.738,301.47,525.78
1.7108,-2.3682,3.3057,-0.98145,-317.26,207.91,100.9,301.47,525.99
1.7115,-2.6904,3.0957,-0.45637,-314.3,145.54,163.52,301.47,526.2
1.7122,-2.9639,2.666,0.23555,-306.9,75.243,228.13,301.47,526.41
1.7129,-3.1885,2.0703,1.0551,-287.16,2.4751,277.34,301.48,526.63
1.7136,-3.3447,1.4893,1.7911,-250.16,-63.362,304.18,301.48,526.84
1.7143,-3.3203,0.91797,2.3407,-194.4,-121.28,311.14,301.48,527.05
1.715,-2.9932,0.35645,2.6057,-130.26,-183.16,308.65,301.49,527.26
1.7157,-2.4902,-0.38086,2.856,-59.702,-245.03,297.72,301.49,527.47
1.7164,-1.8311,-1.2305,3.0523,11.842,-290.58,273.36,301.49,527.68
1.7171,-1.2598,-1.9336,3.1897,73.518,-312.36,234.59,301.49,527.89
1.7178,-0.67871,-2.4561,3.1308,130.26,-314.34,176.94,301.49,528.1
1.7185,-0.092773,-2.7002,2.7922,192.92,-309.88,109.84,301.49,528.31
1.7192,0.70312,-2.9395,2.277,253.12,-296.52,39.762,301.49,528.52
1.7199,1.5186,-3.1445,1.6685,293.08,-270.78,-30.318,301.48,528.74
1.7206,2.1777,-3.2861,1.1532,309.37,-229.19,-90.458,301.47,528.95
1.7213,2.6416,-3.208,0.6134,311.83,-167.81,-147.62,301.46,529.16
1.722,2.8857,-2.8369,0.0049072,306.9,-98.509,-212.73,301.46,529.37
1.7227,3.1543,-2.2754,-0.81951,289.14,-28.216,-269.88,301.45,529.58
1.7234,3.3203,-1.6406,-1.6096,257.56,41.087,-304.18,301.44,529.79
1.7241,3.3691,-1.1426,-2.1641,209.21,102.47,-312.63,301.44,530
1.7248,3.1494,-0.57129,-2.537,146.05,160.88,-313.62,301.44,530.21
1.7255,2.6855,0.10254,-2.7677,74.998,222.26,-308.15,301.43,530.42
1.7262,2.0605,0.9668,-3.0179,4.9341,276.22,-285.79,301.43,530.64
1.7269,1.4062,1.7578,-3.1603,-59.209,306.91,-250.5,301.44,530.85
1.7276,0.89844,2.2754,-3.1652,-118.91,309.88,-199.31,301.44,531.06
1.7283,0.29297,2.6123,-2.9051,-180.09,306.91,-134.69,301.44,531.27
1.729,-0.41016,2.832,-2.4389,-238.81,299.98,-63.122,301.43,531.48
1.7297,-1.2793,3.0859,-1.85,-286.67,276.22,6.9583,301.43,531.69
1.7304,-2.0117,3.2275,-1.2513,-313.31,238.1,67.098,301.44,531.9
1.7311,-2.4854,3.2275,-0.79497,-315.78,183.65,127.24,301.44,532.11
1.7318,-2.7979,2.9541,-0.21101,-311.83,116.82,191.35,301.43,532.32
1.7325,-3.0322,2.4365,0.5447,-301.47,43.562,251,301.43,532.53
1.7332,-3.2959,1.8164,1.4084,-273.84,-27.226,291.25,301.43,532.75
1.7339,-3.3447,1.2207,2.061,-227.95,-87.618,308.65,301.43,532.96
1.7346,-3.2031,0.72754,2.4291,-168.75,-146.53,310.64,301.43,533.17
1.7353,-2.8027,0.073242,2.7088,-101.15,-209.89,305.67,301.43,533.38
1.736,-2.2363,-0.70312,2.9247,-29.604,-266.82,289.27,301.42,533.59
1.7367,-1.5869,-1.5723,3.1603,38.979,-303.45,258.45,301.42,533.8
1.7374,-0.98633,-2.207,3.1897,96.708,-314.83,212.73,301.42,534.01
1.7381,-0.47363,-2.5391,3.0081,156.9,-312.36,150.6,301.42,534.22
1.7388,0.23926,-2.8027,2.5861,219.07,-306.91,81.015,301.42,534.43
1.7395,1.0303,-3.0176,2.0218,271.37,-287.61,9.4434,301.41,534.64
1.7402,1.8652,-3.2666,1.4378,303.45,-254.44,-55.169,301.41,534.86
1.7409,2.4219,-3.291,0.91765,311.83,-204.94,-113.32,301.42,535.07
1.7416,2.7295,-3.0957,0.41711,308.87,-140.59,-175.95,301.42,535.28
1.7423,3.0127,-2.6221,-0.3386,301.47,-69.303,-239.07,301.42,535.49
1.743,3.2275,-2.0312,-1.1336,278.78,3.9602,-286.28,301.43,535.7
1.7437,3.418,-1.4404,-1.9089,238.81,67.323,-310.64,301.43,535.91
1.7444,3.291,-0.85938,-2.3751,183.05,125.24,-314.61,301.44,536.12
1.7451,2.9834,-0.31738,-2.6352,117.92,187.61,-312.13,301.44,536.33
1.7458,2.4268,0.47852,-2.8904,46.38,248.5,-299.7,301.44,536.54
1.7465,1.8115,1.2793,-3.0817,-24.67,291.57,-273.36,301.43,536.75
1.7472,1.2109,2.0312,-3.2388,-85.36,309.39,-231.11,301.43,536.97
1.7479,0.625,2.4756,-3.0916,-142.59,309.88,-172.96,301.44,537.18
1.7486,0.014648,2.7002,-2.7186,-205.26,305.92,-105.37,301.45,537.39
1.7493,-0.8252,2.9639,-2.169,-262,291.07,-33.797,301.45,537.6
1.75,-1.5723,3.1494,-1.6145,-300.98,262.36,33.797,301.45,537.81
1.7507,-2.2705,3.3057,-1.0796,-314.79,217.81,92.446,301.45,538.02
1.7514,-2.666,3.1494,-0.52507,-314.79,156.43,153.08,301.46,538.23
1.7521,-2.9053,2.7588,0.098145,-308.87,87.123,217.7,301.46,538.44
1.7528,-3.1738,2.1631,0.952,-291.11,13.861,270.38,301.45,538.65
1.7535,-3.3057,1.5576,1.6783,-257.56,-53.957,301.69,301.45,538.86
1.7542,-3.3545,1.0254,2.2622,-204.27,-112.37,310.64,301.45,539.08
1.7549,-3.0518,0.43457,2.5861,-140.62,-172.27,310.14,301.46,539.29
1.7556,-2.5879,-0.24414,2.8118,-71.544,-236.12,300.2,301.46,539.5
1.7563,-1.9385,-1.1133,3.0376,-0.98682,-285.13,277.34,301.46,539.71
1.757,-1.3232,-1.8359,3.1553,64.636,-309.39,242.55,301.46,539.92
1.7577,-0.78613,-2.3779,3.1603,121.87,-313.84,187.87,301.46,540.13
1.7584,-0.16602,-2.6758,2.8462,181.57,-312.36,120.28,301.47,540.34
1.7591,0.54199,-2.8906,2.3751,242.76,-300.48,50.199,301.48,540.55
1.7598,1.4258,-3.1348,1.7519,289.63,-273.75,-17.893,301.49,540.76
1.7605,2.0898,-3.2471,1.1974,308.87,-237.11,-79.523,301.49,540.97
1.7612,2.5781,-3.2422,0.71646,309.37,-180.68,-139.66,301.49,541.19
1.7619,2.8516,-2.9053,0.10305,307.89,-109.89,-201.79,301.48,541.4
1.7626,3.0957,-2.3779,-0.66248,295.55,-37.126,-259.94,301.47,541.61
1.7633,3.3252,-1.7285,-1.5163,262.99,30.196,-300.7,301.47,541.82
1.764,3.3496,-1.1914,-2.0905,216.11,91.084,-314.12,301.46,542.03
1.7647,3.208,-0.68359,-2.4831,158.38,151.97,-312.63,301.45,542.24
1.7654,2.7588,-0.0048828,-2.7431,88.32,214.34,-308.15,301.46,542.45
1.7661,2.1729,0.80078,-2.964,14.309,267.81,-291.75,301.47,542.66
1.7668,1.5039,1.665,-3.1652,-50.821,302.46,-257.95,301.47,542.87
1.7675,0.96191,2.2119,-3.1652,-108.06,311.86,-207.75,301.46,543.08
1.7682,0.41504,2.5586,-2.9738,-169.24,308.4,-145.63,301.45,543.3
1.7689,-0.30762,2.8027,-2.5076,-231.41,300.97,-76.044,301.45,543.51
1.7696,-1.1279,3.0273,-1.9433,-280.26,281.17,-3.9762,301.46,543.72
1.7703,-1.9482,3.2422,-1.3348,-309.86,246.02,58.649,301.46,543.93
1.771,-2.4219,3.2373,-0.85386,-316.77,193.55,116.8,301.47,544.14
1.7717,-2.749,3.0273,-0.32878,-312.82,127.72,180.92,301.47,544.35
1.7724,-2.998,2.5244,0.42202,-303.94,56.432,242.55,301.48,544.56
1.7731,-3.2373,1.9189,1.2464,-279.76,-16.831,286.28,301.48,544.77
1.7738,-3.3691,1.3086,2.0021,-236.84,-78.708,308.65,301.48,544.98
1.7745,-3.2227,0.78125,2.3849,-178.61,-136.63,311.63,301.49,545.2
1.7752,-2.8906,0.2002,2.6695,-113.48,-199.99,306.66,301.49,545.41
1.7759,-2.3242,-0.58594,2.8953,-41.94,-259.39,292.75,301.49,545.62
1.7766,-1.7188,-1.4062,3.1112,29.111,-297.51,265.91,301.49,545.83
1.7773,-1.0889,-2.1387,3.224,88.32,-313.84,221.67,301.49,546.04
1.778,-0.54688,-2.5049,3.0474,145.06,-314.83,159.54,301.49,546.25
1.7787,0.1123,-2.7539,2.6597,209.21,-308.4,91.949,301.49,546.46
1.7794,0.92285,-2.9834,2.1003,265.95,-290.08,21.869,301.49,546.67
1.7801,1.6992,-3.208,1.5507,299.5,-261.37,-45.726,301.49,546.88
1.7808,2.3682,-3.3252,0.99617,309.86,-215.33,-104.87,301.48,547.09
1.7815,2.6953,-3.125,0.48582,310.85,-150.49,-164.51,301.48,547.31
1.7822,2.9736,-2.7051,-0.21101,304.93,-79.698,-228.13,301.48,547.52
1.7829,3.2031,-2.1143,-1.0256,282.72,-8.9104,-281.31,301.47,547.73
1.7836,3.374,-1.543,-1.7617,245.72,56.432,-309.15,301.48,547.94
1.7843,3.3496,-0.96191,-2.3211,193.91,117.32,-313.62,301.49,548.15
1.785,3.0371,-0.40039,-2.5959,129.27,178.21,-312.63,301.48,548.36
1.7857,2.5391,0.3418,-2.8609,57.235,238.1,-304.18,301.48,548.57
1.7864,1.8945,1.1768,-3.0572,-13.815,285.63,-278.83,301.48,548.78
1.7871,1.3135,1.8994,-3.2044,-74.998,308.89,-238.57,301.49,548.99
1.7878,0.71289,2.4316,-3.1406,-132.73,310.38,-183.4,301.49,549.2
1.7885,0.12207,2.6758,-2.7971,-195.88,305.43,-116.8,301.49,549.42
1.7892,-0.67383,2.9248,-2.277,-254.11,294.04,-45.726,301.49,549.63
1.7899,-1.4746,3.1299,-1.6881,-296.04,267.81,23.36,301.48,549.84
1.7906,-2.1533,3.2715,-1.1679,-313.81,225.73,83.5,301.49,550.05
1.7913,-2.627,3.1982,-0.6134,-315.29,166.82,143.14,301.51,550.26
1.792,-2.8711,2.8271,-0.014722,-311.34,98.014,206.76,301.52,550.47
1.7927,-3.1445,2.2705,0.8146,-295.55,25.741,263.92,301.52,550.68
1.7934,-3.3008,1.6357,1.5998,-262.99,-43.067,299.21,301.51,550.89
1.7941,-3.3545,1.1182,2.169,-214.14,-103.95,309.64,301.52,551.1
1.7948,-3.1299,0.54199,2.5518,-152.96,-163.36,309.15,301.51,551.32
1.7955,-2.666,-0.12207,2.7726,-82.399,-225.23,303.18,301.51,551.53
1.7962,-2.0459,-0.97656,3.0179,-10.362,-277.21,282.81,301.51,551.74
1.7969,-1.3867,-1.7627,3.1455,53.781,-308.89,248.51,301.51,551.95
1.7976,-0.87891,-2.2949,3.1652,111.51,-315.33,196.82,301.51,552.16
1.7983,-0.27832,-2.6367,2.9149,173.19,-310.87,132.7,301.5,552.37
1.799,0.40527,-2.8467,2.4585,233.88,-302.95,62.128,301.5,552.58
1.7997,1.2744,-3.0957,1.8598,281.74,-280.68,-8.4494,301.49,552.79
1.8004,2.0166,-3.2373,1.2612,307.39,-244.04,-70.08,301.49,553
1.8011,2.4951,-3.2471,0.79988,311.83,-189.1,-128.73,301.48,553.21
1.8018,2.8125,-2.9834,0.22083,307.89,-121.77,-192.35,301.48,553.43
1.8025,3.042,-2.4756,-0.51035,297.53,-50.987,-252.49,301.47,553.64
1.8032,3.3008,-1.8506,-1.3789,270.39,19.801,-294.73,301.46,553.85
1.8039,3.3594,-1.2598,-2.0316,225.49,82.173,-312.63,301.45,554.06
1.8046,3.2373,-0.77637,-2.4144,167.27,141.58,-314.12,301.45,554.27
1.8053,2.8467,-0.12695,-2.7039,100.16,203.95,-310.14,301.45,554.48
